Slope_minmax,PeakVal1_error,PeakVal2_error,PeakHt1_error,PeakHt2_error,Min1_window,Min2_window,Max1_window,Max2_window,Var1_window,Var2_window,Mean1_window,Mean2_window,Sig_coef1,Sig_coef2,Sig_coef3,Sig_coef4,Max_fft,Min_fft,Mean_fft,Var_fft
0.22395833333333334,0.7866323907455013,0.6925,0.37919463087248567,0.4189944134078205,0.6722222222222222,0.6638888888888889,0.73,0.7268170426065163,0.15198066126013654,0.14870571459910004,0.7025052192066802,0.684126984126984,-0.0016045912389293607,0.18814872707399813,0.005138111589932189,0.010810044838356403,0.704448610874382,-0.3051464940963784,0.6340143481676124,0.5019044281004948
0.1818181818181818,0.37017994858611825,0.5,0.19798657718120835,0.24208566108007326,0.41944444444444445,0.3916666666666666,0.49,0.46616541353383456,0.09149511332917433,0.08898212131183503,0.4514613778705638,0.4285714285714288,-0.0015889212479737631,0.12585779540029562,0.4999982309726318,0.006370495223691516,0.3774501448781318,-0.3681537727012696,0.3514333037478681,0.14884846961507228
0.19318181818181815,0.519280205655527,0.47,0.3087248322147672,0.27560521415269973,0.25,0.23055555555555554,0.3975,0.3583959899749373,0.1904501975462676,0.1717396073269716,0.3282881002087682,0.2925925925925927,0.004872051318370747,0.1214191490384943,0.0038798206877133307,0.0031289916852241828,0.37659792057269464,-0.5439918748950975,0.2843991725923258,0.155169975737464
0.24553571428571416,0.38303341902313626,0.535,0.30536912751678097,0.17504655493482257,0.3416666666666667,0.3277777777777778,0.4225,0.40350877192982454,0.0984612185485549,0.08988702424042996,0.3825678496868474,0.3608465608465608,0.0033085117600911793,0.16972989081032594,0.0030659799133996414,0.005398273899011363,0.43301516959263675,-0.22676275353852618,0.4183387198072817,0.19196573844836803
0.10021551724137927,0.33676092544987146,0.4,0.1711409395973151,0.10055865921787639,0.3111111111111111,0.2972222222222222,0.365,0.3483709273182957,0.04946454564358469,0.047905012613798204,0.3382045929018787,0.3222222222222222,0.0031268316953198864,0.09473083640371717,0.0020170096681726736,0.003648590598225789,0.37497869439236403,-0.27350112653024927,0.31887533534017626,0.14518217049744048
0.18124999999999988,0.48329048843187655,0.405,0.41275167785234956,0.3538175046554938,0.39444444444444443,0.37222222222222223,0.4625,0.45614035087719296,0.09604387606571026,0.09712624766918913,0.42797494780793305,0.40687830687830684,7.44923593422668e-05,0.11745245468930689,0.499998545390303,0.0064663812483383215,0.4390659621612407,-0.06409460417993325,0.43746835923187516,0.19421249163393703
0.2124999999999999,0.2493573264781491,0.485,0.1543624161073818,0.15270018621974002,0.31388888888888883,0.3638888888888889,0.4475,0.48621553884711777,0.17488043252235358,0.1733848853789618,0.382045929018789,0.4301587301587301,0.006478319811965586,0.12830995828732633,0.0022530801014512877,0.0034820266102254215,0.44281574910516447,-0.6321983263510675,0.31919743967166875,0.21553063629249325
0.1918103448275861,0.6221079691516709,0.4,0.2718120805369135,0.1731843575418989,0.4222222222222222,0.4444444444444445,0.5,0.5263157894736842,0.10753275109170335,0.1007184380827029,0.461377870563674,0.4984126984126983,0.007073767310718139,0.1702742334207151,0.0014676106866639226,0.0054362230530859215,0.5183228225668995,-0.4308152885160475,0.44120606105346016,0.2824942677800786
0.26562499999999983,0.32904884318766064,0.31,0.11073825503355704,0.2867783985102421,0.26111111111111107,0.25555555555555554,0.3525,0.3383458646616541,0.10909232688708677,0.10030711856970506,0.31106471816283915,0.2894179894179894,0.0013795373676446156,0.0843265032198173,0.018808953264248175,0.003718568887467748,0.3118288733594682,-0.11748184910501205,0.28266547756130955,0.0987829727552304
0.21634615384615377,0.37017994858611825,0.4825,0.2583892617449687,0.15083798882681482,0.3277777777777778,0.3527777777777778,0.4275,0.45614035087719296,0.12884695362861295,0.13066249862893464,0.376304801670146,0.4153439153439154,0.003073458082036451,0.12146852125090256,0.0052104315141514555,0.004636642151093202,0.4172490199420486,-0.3625896019194342,0.3523901278319566,0.18039906505632797
